page,category_id,title,brand,new_price,list_price,rating,rating_count,shipping_fee,sponsored
3,c413893,Bodhild 115.7'' Boucle 4 - Piece Modular Sectional with Ottoman,By Wade Logan®,"$1,839.99","$3,435.99",4.7 out of 5 stars,159,Free Shipping,True
3,c413893,3 - Piece Corduroy Upholstered L-Shaped Sectional,By Latitude Run®,$960.00,"$1,340.00",5 out of 5 stars,5,Free Shipping,True
3,c413893,6 - Piece Corduroy Sectional,By Wade Logan®,"$1,069.99",,4.3 out of 5 stars,256,Free Shipping,False
3,c413893,Maureece Corduroy Sofa U Shaped Modular Sleeper Sectional,By Hokku Designs,"$1,360.00","$1,480.00",3.6 out of 5 stars,8,Free Shipping,False
3,c413893,Buckmiller 124'' Square Arms Firm Sectional Sofa U Shape Sectional Sleeper Sofa with Pull Out Couch and Storage Chaise,By Latitude Run®,"$1,830.00","$3,859.99",4.5 out of 5 stars,2,Free Shipping,True
3,c413893,Datura 4 - Piece Upholstered Sectional,By AllModern,"$1,369.99","$1,999.99",4.7 out of 5 stars,72,Free Shipping,True
3,c413893,Budapest 97.5'' Wide L Shape 100 %Linen Corner Sectional,By Lark Manor™,$489.99,,4 out of 5 stars,163,Free Shipping,True
3,c413893,Adebisi 3 - Piece Faux Leather Sectional,By Red Barrel Studio®,$659.99,,4 out of 5 stars,459,Free Shipping,True
3,c413893,Latitude Run® 3-Seat Sectionals With 2 Ottoman,By Latitude Run®,$740.00,"$1,040.00",4.1 out of 5 stars,15,Free Shipping,True
3,c413893,U-shaped Sectional Reversible Storage Sectional Sofa,By HONBAY,$721.00,$778.00,4.6 out of 5 stars,72,Free Shipping,True
3,c413893,Brisia Piece Upholstered Sectional,By Lark Manor™,$900.00,,4.8 out of 5 stars,53,Free Shipping,False
3,c413893,Latitude Run® L-shaped Modular Corduroy Sectional Couch,By Latitude Run®,"$1,180.00","$1,440.00",4.5 out of 5 stars,11,Free Shipping,False
3,c413893,Mauralia Piece Upholstered Chaise Sectional,By Latitude Run®,$970.00,,4.8 out of 5 stars,40,Free Shipping,False
3,c413893,Ketterer 8 - Piece Upholstered Sectional,By Three Posts™,"$1,190.00","$1,290.00",4.7 out of 5 stars,258,Free Shipping,False
3,c413893,Datura 4 - Piece Upholstered Sectional,By AllModern,"$1,369.99","$1,999.99",4.7 out of 5 stars,72,Free Shipping,False
3,c413893,Bouke Artificial Leather Modular Sectional With Ottoman,By Lark Manor™,$960.00,"$1,040.00",4.6 out of 5 stars,11,Free Shipping,False
3,c413893,Brinsley 5 - Piece Corduroy Modular Sectional,By Latitude Run®,"$1,499.99","$2,248.00",5 out of 5 stars,3,Free Shipping,False
3,c413893,Glendora Upholstered Sectional,By Latitude Run®,"$1,200.00",,4.2 out of 5 stars,39,Free Shipping,False
3,c413893,3 - Piece Upholstered Sectional,By Winado,$520.00,$680.00,4.3 out of 5 stars,212,Free Shipping,False
